Code,Name,DEN,TAX,HDI,SIZE,CRM
AL,Alabama,95,25,4.04,30,47
AK,Alaska,1,6,5.06,1,73
AZ,Arizona,60,42,4.89,6,41
AR,Arkansas,57,32,3.91,29,52
CA,California,251,405,5.4,3,43
CO,Colorado,52,47,5.53,8,32
CT,Connecticut,741,59,6.17,48,22
DE,Delaware,485,22,5.22,49,50
FL,Florida,378,177,4.82,22,46
GA,Georgia,177,86,4.62,24,38
HI,Hawaii,222,8,5.53,43,30
ID,Idaho,20,9,4.5,14,22
IL,Illinois,231,158,5.31,25,38
IN,Indiana,184,57,4.56,38,39
IA,Iowa,55,23,5.03,26,29
KS,Kansas,36,27,4.93,15,39
KY,Kentucky,112,32,4.02,37,22
LA,Louisiana,108,42,4.12,31,54
ME,Maine,43,7,4.93,39,13
MD,Maryland,618,63,5.94,42,46
MA,Massachusetts,871,108,6.18,44,39
MI,Michigan,175,78,4.76,11,42
MN,Minnesota,68,106,6.1,12,24
MS,Mississippi,63,11,3.81,32,28
MO,Missouri,88,64,5.19,21,50
MT,Montana,7,6,4.54,4,35
NE,Nebraska,24,25,4.58,16,27
NV,Nevada,26,18,4.63,7,70
NH,New Hampshire,148,11,5.73,46,20
NJ,New Jersey,1218,153,6.12,47,26
NM,New Mexico,17,9,4.52,5,66
NY,New York,420,269,5.66,27,38
NC,North Carolina,206,78,5.17,28,35
ND,North Dakota,10,7,4.9,19,24
OH,Ohio,284,140,4.71,34,30
OK,Oklahoma,57,33,4.14,20,42
OR,Oregon,41,31,5.42,9,26
PA,Pennsylvania,286,136,5.72,33,32
RI,Rhode Island,1021,14,5.38,50,24
SC,South Carolina,162,24,4.53,40,51
SD,South Dakota,11,7,4.79,17,38
TN,Tennessee,160,62,4.22,36,61
TX,Texas,105,279,4.65,2,41
UT,Utah,36,20,5.03,13,24
VT,Vermont,67,4,5.31,45,12
VA,Virginia,212,80,4.87,35,20
WA,Washington,107,73,5.4,18,28
WV,West Virginia,76,7,3.95,41,34
WI,Wisconsin,106,51,4.59,23,31
WY,Wyoming,6,5,4.83,10,22
DC,Washington Dc,1300,25,5.11,51,25
